terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,fernandez_huerta,szigriszt_pazos,gutierrez_polini,crawford,gulpease_index,osman
IRS Publication 15,"IRS Publication 15: Employer's Tax Guide is a document published by the Internal Revenue Service detailing an employer's responsibilities for filing and reporting tax information. The document covers the withholding, depositing, reporting, paying, and correcting of taxes for employees (although not for the corporation itself). IRS Publication 15 is also referred to as Circular E.﻿﻿",investopedia,1,19.06,15.1,17.1,16.24,16.0,11.72,22,15.1666666666667,17.5,15th and 16th grade,68.2,65.03,32.7,5.2,45.3636363636364,29.18
TAX EVASION,"The process of seeking to minimize TAX paid to a govern- ment authority through illegal means, such as underreporting of INCOME or failing to disclose offshore ASSETS. See also TAX AVOIDANCE.",palgrave,0,55.74,9.3,0.0,11.77,10.8,10.52,10,8.75,11.36,10th and 11th grade,95.0,88.84,40.65,3.3,56.4193548387097,52.45
Dow Jones CDX,"The credit default swap index (CDX), formerly the Dow Jones CDX, is a benchmark financial instrument made up of credit default swaps (CDS) that have been issued by North American or emerging market companies. The CDX was the first CDS index, which was created in the early 2000s and was based on a basket of single issuer CDSs.",investopedia,1,29.53,23.6,0.0,10.11,29.8,12.23,12,17.5,26.65,23rd and 24th grade,63.7,62.9,30.58,3.0,46.9310344827586,25.19
Société Anonyme (S.A.),"Société anonyme (S.A.) is a French term for a public limited company (PLC) and has many equivalents all over the world. A société anonyme is the equivalent of a corporation in the United States (publicly-traded company or incorporated), a public limited company in the United Kingdom, or an Aktiengesellschaft (AG) in Germany. A société anonyme is a type of business structure that establishes a company as a legal person that can own and transfer property, enter contracts, and be held liable for crimes. One of its key benefits is that it limits the owners’ personal liability for the company’s actions.",investopedia,1,46.1,13.0,15.6,11.26,14.9,9.61,24,17.25,15.2,15th and 16th grade,85.4,80.29,39.21,3.8,50.4,45.81
Adverse Selection,"Adverse selection refers generally to a situation in which sellers have information that buyers do not have, or vice versa, about some aspect of product quality. In other words, it is a case where asymmetric information is exploited. Asymmetric information, also called information failure, happens when one party to a transaction has greater material knowledge than the other party.",investopedia,1,34.56,13.3,15.0,13.98,14.5,10.77,18,14.1666666666667,13.98,13th and 14th grade,78.8,75.24,36.04,4.4,49.0,41.89
Phillips curve,"A graph, fi rst devised by A. W. Phillips, showing the tradeoff between unemployment  and infl ation. In modern main- stream macroeconomics, the  downward-sloping “tradeoff” Phil- lips curve is generally held to be  valid only in the short run; in the  long run, the Phillips curve is usu- ally thought to be vertical at the  nonaccelerating infl ation rate of unemployment (NAIRU).",sam,1,50.46,11.4,12.5,10.85,12.9,11.03,13,13.0,11.51,12th and 13th grade,89.7,87.69,40.87,3.3,52.5483870967742,53.84
Net present value,"A measure used to help decide whether or not to proceed with an INVESTMENT. Net means that both the costs and benefits of the investment are in cluded. To calculate net present value (NPV), first add together all the expected benefits from the investment, now and in the future. Then add together all the expected costs. Then work out what these future benefits and costs are worth now by adjusting future cashflow using an appropriate DISCOUNT RATE. Then subtract the costs from the benefits. If the NPV is negative, then the investment cannot be justified by the EXPECTED RETURNS. If the NPV is positive, it can, although it pays to make comparisons with the NPVs of alternative investment opportunities before going ahead.",economist,1,64.41,8.1,12.8,10.14,9.5,7.76,21,8.71428571428571,10.05,7th and 8th grade,101.2,95.07,43.03,2.8,59.1639344262295,60.84
Financial system,"The markets,  rms, and other institutions which carr nancial decisions of households, businesses, govern-ments, and the rest of the world.  nancial system include the money mar- xed-interest assets like bonds or mortgages, stock markets for the ownership of  rms, and foreign exchange mar-kets which trade the monies of dif-ferent countries.     ",sam,1,3.81,25.2,0.0,15.51,30.8,13.7,15,32.0,24.0,-1th and 0th grade,47.8,45.94,24.35,4.9,37.2,5.44
EMISSIONS TRADING,"The TRADING of emissions allowances between com- panies, or ASSIGNED AMOUNT UNITS across borders, for those participating in a CAP AND TRADE mechanism.",palgrave,0,48.13,12.3,0.0,14.51,16.5,11.64,8,13.5,12.68,11th and 12th grade,87.4,86.32,34.43,3.4,45.9565217391304,35.51
Time deposit,"Funds, held in a bank, that have a minimum “time of with-drawal”; included in broad money but not in  M  1  because they are not accepted as a means of payment. Similar to  savings deposits.      ",sam,1,45.25,11.3,0.0,6.61,7.8,8.56,6,10.75,11.57,10th and 11th grade,87.0,84.32,48.61,3.7,62.7142857142857,75.94
Trading Platform,"A trading platform is software used for trading: opening, closing, and managing market positions through a financial intermediary such as an online broker. Online trading platforms are frequently offered by brokers either for free or at a discount rate in exchange for maintaining a funded account and/or making a specified number of trades per month. The best trading platforms offer a mix of robust features and low fees.",investopedia,1,48.43,12.1,11.9,12.89,14.6,10.1,20,13.6666666666667,13.2,12th and 13th grade,87.7,82.47,37.34,3.7,49.7352941176471,41.59
Command economy,"A mode of eco-nomic organization in which the key economic functions— what, how,  and  for whom  — are principally determined by government direc-tive. Sometimes called a  centrally planned economy.      Commodity money.    ",sam,1,-3.49,17.6,0.0,14.96,13.8,12.05,10,13.25,15.23,12th and 13th grade,53.0,46.64,35.33,6.7,49.9677419354839,38.41
RHO,"A measure of the change in the value of an OPTION for a change in the RISK-FREE RATE, with all other variables held constant. The rhos of the CALL OPTION and PUT OPTION under the BLACK-SCHOLES MODEL are given by:)= tXe−rf t N( −d)where+−σ22σ tS is the stock price, X is the STRIKE PRICE, t is the time to MATURITY, rf is the risk-free rate, σ2 is the VARIANCE, and where the N value of N(d2) can be obtained from a standard table of PROBABILITY functions.The rhos of LONG and SHORT puts and calls are shown as:See also DELTA, GAMMA, GREEKS, VEGA, THETA.",palgrave,0,44.58,19.8,0.0,7.62,24.9,11.25,13,26.5,21.38,19th and 20th grade,76.3,71.87,37.06,2.8,51.0388349514563,41.23
DISPOSAL VALUE,See RESIDUAL VALUE.,palgrave,0,34.59,9.2,0.0,5.35,6.8,9.05,1,1.5,14.53,8th and 9th grade,83.8,79.24,42.42,-0.5,132.333333333333,76.84
Variance Reduction Procedures,Procedures for reducing the error in a Monte Carlo simulation.,opod,0,35.95,10.7,0.0,11.4,8.5,13.61,5,7.0,16.0,10th and 11th grade,82.6,78.47,41.26,3.9,66.0,62.48
Relative Vigor Index (RVI),The Relative Vigor Index (RVI) is a momentum indicator used in technical analysis that measures the strength of a trend by comparing a security's closing price to its trading range while smoothing the results using a simple moving average (SMA).,investopedia,1,22.42,20.1,0.0,12.31,22.8,13.91,16,28.0,24.0,12th and 13th grade,64.1,60.93,32.7,4.4,45.0,27.8
DOUBLE TOP,A TECHNICAL ANALYSIS charting formation that depicts two RESISTANCE LEVELS followed by a BREAKOUT. The multiple declines suggest resistance on the upside and possible weakness on the downside. Also known as a REVERSE W FORMATION. See also DOUBLE BOTTOM.,palgrave,0,44.61,9.5,11.2,12.62,9.4,10.2,14,5.875,9.05,9th and 10th grade,88.9,85.26,39.31,3.3,64.6410256410256,48.29
National Commodities And Derivatives Exchange (NCDEX),"The National Commodity & Derivatives Exchange (NCDEX) is a commodities exchange dealing primarily in agricultural commodities in India. The National Commodity & Derivatives Exchange was established in 2003, and its headquarters are in Mumbai. Many of India's leading financial institutions have a stake in the NCDEX. As of September 2019, significant shareholders included Life Insurance Corporation of India (LIC), the National Stock Exchange of India Limited (NSE), and the National Bank for Agricultural and Rural Development (NABARD).",investopedia,1,18.55,15.3,17.4,17.0,17.0,10.88,23,15.875,16.59,16th and 17th grade,67.7,63.49,31.34,5.3,43.4,25.07
REPLICATION,"The process of duplicating an INDEX, HEDGE, or INVEST- MENT strategy through physical ASSETS or DERIVATIVE CONTRACTS.",palgrave,0,37.3,12.3,0.0,15.54,15.0,14.7,8,12.5,16.21,14th and 15th grade,81.5,76.23,33.9,4.3,47.2352941176471,34.18
implied volatility,The standard deviation of stock returns that is consistent with an option™s market value.,zvi,0,48.81,9.9,0.0,13.22,11.1,11.1,5,8.0,11.31,10th and 11th grade,90.6,86.04,38.34,3.5,56.1428571428571,50.13
LIQUID,"(1) At a corporate level, the state of possessing sufficient cash to meet obligations. (2) At a market level, the state of having sufficient trans- action volume to permit TRADING. See also IL,  ASSETS, ITY.",palgrave,0,53.71,10.1,0.0,8.93,10.4,10.82,9,11.25,11.57,10th and 11th grade,93.0,89.66,44.73,3.3,57.0,62.12
Levered Free Cash Flow (LFCF),"Levered free cash flow (LFCF) is the amount of money a company has left remaining after paying all of its financial obligations. LFCF is the amount of cash a company has after paying debts, while unlevered free cash flow (UFCF) is cash before debt payments are made. Levered free cash flow is important because it is the amount of cash that a company can use to pay dividends and make investments in the business.",investopedia,1,63.32,10.6,13.6,9.06,12.5,7.64,9,15.6666666666667,13.12,7th and 8th grade,97.7,93.77,43.05,2.7,55.2162162162162,59.75
Financial Statement Analysis,Financial statement analysis is the process of analyzing a company's financial statements for decision-making purposes. External stakeholders use it to understand the overall health of an organization as well as to evaluate financial performance and business value. Internal constituents use it as a monitoring tool for managing the finances.,investopedia,1,21.09,14.4,16.7,16.64,15.0,10.89,19,13.8333333333333,17.95,16th and 17th grade,70.2,68.44,32.27,4.9,47.3673469387755,29.26
Authorized Stock,"Authorized stock, or authorized shares, refers to the maximum number of shares that a corporation is legally permitted to issue, as specified in its articles of incorporation in the U.S., or in the company's charter in other parts of the world. It is also usually listed in the capital accounts section of the balance sheet. Authorized shares should not be confused with outstanding shares, which are the number of shares the corporation has actually issued that are held by the public.",investopedia,1,44.07,13.8,15.9,11.32,15.7,9.85,20,18.5,16.23,15th and 16th grade,83.3,79.85,38.45,3.7,49.9876543209877,45.91
Wants,Desires that can be satisfied by consuming goods and services.,6_8_louis,1,61.33,7.2,0.0,11.4,8.5,10.45,4,6.0,12.0,8th and 9th grade,100.6,97.16,41.26,2.4,66.0,60.06
INDEX-LINKED ANNUITY,An ANNUITY with payments to the BENEFICIARY that are linked to a specified INDEX.,palgrave,0,48.81,9.9,0.0,9.91,8.5,11.1,5,9.0,14.17,9th and 10th grade,90.6,86.04,43.88,3.5,61.8571428571429,65.68
W-2 Form,"Form W-2, also known as the Wage and Tax Statement, is the document an employer is required to send to each employee and the Internal Revenue Service (IRS) at the end of the year. A W-2 reports employees' annual wages and the amount of taxes withheld from their paychecks. A W-2 employee is someone whose employer deducts taxes from their paychecks and submits this information to the government.",investopedia,1,56.89,11.0,13.6,10.16,12.7,9.64,15,14.6666666666667,13.2,9th and 10th grade,93.7,90.72,41.9,3.0,53.8529411764706,55.46
AG,See AKTIENGESELLSCHAFT.,palgrave,0,35.61,8.8,0.0,30.3,31.4,11.63,1,1.0,20.8,11th and 12th grade,84.8,80.24,-7.36,-4.0,129.0,-43.06
BEARER SECURITY,"A SECURITY that can be transferred or redeemed by the holder, who may or may not be the BENEFICIAL OWNER, and for which no proof of ownership is required. Many securities are issued in bearer form, which eliminates the time and expense associated with re-registration. See alsoREGISTERED SECURITY.",palgrave,0,46.78,10.7,13.0,11.77,11.1,9.69,14,11.0,13.07,10th and 11th grade,88.5,84.41,40.49,3.7,55.6666666666667,54.58
Appropriation,"Appropriation is when money is set aside money for a specific and particular purpose or purposes. A company or a government appropriates funds in order to delegate cash for the necessities of its business operations. Appropriations for the U.S. federal government are decided by Congress through various committees. A company might appropriate money for short-term or long-term needs that include employee salaries, research and development, and dividends.",investopedia,1,29.04,13.4,16.2,15.31,14.4,10.6,21,13.625,16.87,13th and 14th grade,75.7,70.13,34.32,4.8,48.7014925373134,35.82
R-SQUARED,See COEFFICIENT OF DETERMINATION.,palgrave,0,-34.11,19.0,0.0,18.85,15.9,11.73,2,3.0,21.6,18th and 19th grade,34.8,31.51,23.48,4.9,89.0,21.42
