terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,linsear_write_formula,gunning_fog
Bretton Woods,"A conference held at Bretton Woods, New Hampshire, in 1944, which designed the structure of the international monetary system after the second world war and set up the imf and the world bank. It was agreed that the exchange rates of IMF members would be pegged to the dollar, with a maximum variation of 1% either side of the agreed rate. Rates could be adjusted more sharply only if a country's balance of payments was in fundamental disequilibrium. In August 1971 economic troubles and the cost of financing the Vietnam war led the American president, Richard Nixon, to devalue the dollar. This shattered confidence in the fixed exchange rate system and by 1973 all of the main currencies were floating freely, at rates set mostly by market forces rather than government fiat.",economist,1,53.14,12.4,13.3,10.86,14.8,10.09,15.75,14.8
USDA Streamlined Refinancing,USDA streamlined refinancing refers to a simplified mortgage-refinancing option offered through the United States Department of Agriculture (USDA). The USDA streamlined refinancing is intended for homeowners who purchased their homes using a USDA-issued home loan.,investopedia,1,28.33,13.7,0.0,19.72,18.4,11.72,13.25,13.86
WAIVER OF PREEMPTIVE RIGHTS,"An INVESTOR’s agreement to relin- quish the affirmative right to obtain new SHARES of COMMON STOCK when they are issued. Once a waiver is granted, the investor has no further legal abil- ity to take up shares before they are offered in the marketplace at large. See alsoPREEMPTIVE RIGHT, RIGHTS ISSUE.",palgrave,0,62.68,8.7,8.8,10.15,10.2,10.67,8.5,9.15
Quintiles,"A quintile is a statistical value of a data set that represents 20% of a given population, so the first quintile represents the lowest fifth of the data (1% to 20%); the second quintile represents the second fifth (21% to 40%) and so on.",investopedia,1,35.28,19.3,0.0,7.85,21.5,9.41,27.0,20.33
Uniform Bill of Lading,"A uniform bill of lading is an agreement between an exporter and a carrier regarding property to be transported. The uniform bill of lading provides basic information about the shipment such as the shipper and recipient's names and the shipment's origin and destination. In addition, the document establishes the terms of the carrier's liability, transport time frame, how to file a claim for a lost or damaged shipment, how insurance will be applied in the event of a claim and how the shipment may be stored or disposed of if the shipment is refused or is not deliverable.",investopedia,1,46.74,14.9,15.5,11.15,18.0,10.58,21.0,18.79
BONUS SHARE,See STOCK DIVIDEND.,palgrave,0,59.97,5.6,0.0,5.35,6.8,9.05,1.5,14.53
Weighted Average Cost of Capital (WACC),"The weighted average cost of capital (WACC) is a calculation of a firm's cost of capital in which each category of capital is proportionately weighted. All sources of capital, including common stock, preferred stock, bonds, and any other long-term debt, are included in a WACC calculation.",investopedia,1,39.67,13.4,0.0,12.42,15.0,9.58,17.0,14.42
INTEGRATION,"The third stage in the MONEY LAUNDERING process, in which the proceeds from layered transactions are used to enter into other seemingly common financial operations, such as redepositing layered pro- ceeds into BANKS for further borrowing, lending to shell companies, and so forth. Once integrated, the ability of authorities to trace illicit funds becomes far more difficult.",palgrave,0,34.09,15.6,0.0,14.68,19.2,11.42,20.75,20.52
stock company,An insurance company that issues stock and has the objective of making a profit for its shareholders.,fmi,0,54.22,9.9,0.0,11.08,10.6,9.12,12.5,13.86
INDIRECT STAKEHOLDERS,"In GOVERNANCE, the parties impacted by a company’s activities and actions in a less obvious, immediate, or direct manner than DIRECT STAKEHOLDERS; this group generally includes REGULATORS, taxpayers, and competitors.",palgrave,0,-1.28,20.9,0.0,18.11,22.9,13.02,26.0,26.67
IMPORTS,"Goods and services produced offshore, transported or brought into the country, and sold to residents of the nonproducing nation, including VISIBLES (goods) and INVISIBLES (services). See also BALANCE OF TRADE, EXPORTS.",palgrave,0,38.82,11.7,0.0,15.72,14.9,10.52,10.75,13.94
MICROECONOMICS,"The study, within the broad area of ECONOMICS, of how individuals and firms make decisions related to the allocation of scarce resources. Focus is placed on microstructures of SUPPLY and DEMAND, and how these interact to establish relative prices. See also MACROECONOMICS.",palgrave,0,48.81,9.9,13.6,13.22,11.5,11.85,10.3333333333333,15.12
LIFTING A LEG,The process of LEGGING out of a transaction.,palgrave,0,80.28,4.1,0.0,6.45,4.4,9.95,4.0,8.2
Rollover,"A rollover may entail a number of actions, most popularly the transfer of the holdings of one retirement plan to another without creating a taxable event. A rollover may also entail reinvesting funds from a mature security into a new issue of the same or similar security, or moving a FOREX (FX) position to the following delivery date, in which case the rollover incurs a charge.",investopedia,1,37.98,16.2,0.0,10.57,17.7,10.3,22.0,18.05
Neoclassical Growth Theory,"Neoclassical growth theory is an economic theory that outlines how a steady economic growth rate results from a combination of three driving forces—labor, capital, and technology. The National Bureau of Economic Research names Robert Solow and Trevor Swan as having the credit of developing and introducing the model of long-run economic growth in 1956. The model first considered exogenous population increases to set the growth rate but, in 1957, Solow incorporated technology change into the model.﻿﻿",investopedia,1,28.88,15.5,17.5,15.09,17.8,11.12,19.0,16.96
Distributed Ledgers,"A distributed ledger is a database that is consensually shared and synchronized across multiple sites, institutions, or geographies, accessible by multiple people. It allows transactions to have public ""witnesses"". The participant at each node of the network can access the recordings shared across that network and can own an identical copy of it. Any changes or additions made to the ledger are reflected and copied to all participants in a matter of seconds or minutes.",investopedia,1,46.1,13.0,15.9,13.18,16.1,10.56,13.125,17.47
Lot (Securities Trading),"A lot in the financial markets is the number of units of a financial instrument bought on an exchange. The number of units is determined by the lot size. For example, in the stock market, a round lot is 100 shares. However, investors do not have to buy round lots, where a lot can be any number of shares.",investopedia,1,81.83,5.5,10.1,5.62,5.7,7.05,7.875,8.63
Inflation-Adjusted Return,The inflation-adjusted return is the measure of return that takes into account the time period's inflation rate. The purpose of the inflation-adjusted return metric is to reveal the return on an investment after removing the effects of inflation.,investopedia,1,35.27,13.1,0.0,13.87,14.0,8.73,13.0,12.86
Value Deflation,"Value deflation, or shrinkflation, occurs when retailers and service providers cut their costs and sell smaller packages, give out smaller portions, or generally provide less for the same price so as to maintain the same sticker price. Businesses may do this as a way of stealthily raising prices when costs are rising and consumers are particularly price conscious. Economy-wide value deflation is actually a form of price inflation to the extent that it results in lower real consumption at the same price level. Value deflation can lead to an understatement of the rate of inflation and the cost of living if it is not accounted for in the calculation of price indexes.",investopedia,1,43.06,14.2,14.9,11.61,16.2,9.4,16.0,16.2
WET BARRELS,"Physically delivered, rather than financially settled, crude oil. TRADERS dealing in wet barrels generally have need of the physical commodity for production, refining, or supply purposes.",palgrave,0,24.44,13.1,0.0,16.86,14.6,13.39,11.0,19.05
J-Curve Effect,"A J-curve is a trendline that shows an initial loss immediately followed by a dramatic gain. In a chart, this pattern of activity would follow the shape of a capital ""J"".",investopedia,1,64.2,8.2,0.0,7.48,7.6,8.99,8.75,10.07
International Fisher Effect (IFE),The International Fisher Effect (IFE) is an economic theory stating that the expected disparity between the exchange rate of two currencies is approximately equal to the difference between their countries' nominal interest rates.,investopedia,1,4.14,20.9,0.0,17.24,23.2,12.45,26.5,24.11
BILL RATE,See DISCOUNT RATE.,palgrave,0,93.81,0.9,0.0,3.43,5.2,9.05,0.5,1.2
indexed bonds,Bonds whose interest and principal payments are adjusted for changes in the price level and whose interest rate thus provides a direct measure of a real interest rate.,fmi,0,43.06,14.2,0.0,11.78,16.1,9.54,19.0,15.49
Nation building,"Creating a country that works out of one that does not - because the old order has collapsed (as in the former Soviet Union), or been destroyed by war (Iraq), or never really functioned in the first place (Afghanistan). To transform a failed country can involve establishing order through the rule of law and creating legitimate government and other effective social institutions, as well as a credible currency and a functioning market economy. Nation building is rarely easy, and often fiendishly difficult, especially where there are deep ethnic, religious or political divisions in the population or the country has no history of ever functioning effectively. Outside expertise, such as from the world bank, and money (as in, most famouly, the Marshall Plan) can help, but they are no guarantee of success.",economist,1,38.49,16.0,17.1,12.6,19.5,9.86,23.0,18.85
SLEEPING PARTNERSHIP,See SILENT PARTNERSHIP.,palgrave,0,59.97,5.6,0.0,13.12,13.0,9.05,1.5,14.53
UNDERINSURANCE,"(1) Insufficient INSURANCE to cover an INSURABLE RISK, leaving the INSURED exposed to financial loss. (2) Failure by the insured to meet COINSURANCE requirements specified by the INSURER. (1) See alsoOVERINSURANCE.",palgrave,0,23.09,17.7,0.0,15.85,22.0,12.81,24.5,24.01
Gresham's law,"Bad money drives out good. One of the oldest laws in economics, named after Sir Thomas Gresham, an adviser to Queen Elizabeth I of England. He observed that when a currency has been debased and a new one is introduced to replace it, the new one will be hoarded and effectively taken out of circulation, while the old one will continue to be used for transactions, to be got rid of as fast as possible.",economist,1,63.02,10.7,13.6,7.67,11.6,9.09,15.8333333333333,14.8
